post,prefLabel,compulsion,obsession,Compulsion Manual checking1,Obsession Manual checking 1,Compulsion checker 2,Obsession checker 2
"Right I won’t waffle on as I’ve noticed I do that a lot in my posts(sorry ?) 
ny first question is with ERP I get that you’re suppose to make the thought appear in your head, I’ve noticed though when I’ve put the thought there myself it doesn’t bother me so I can’t really let my anxiety get too high as I knew it was coming. Where as if a thought appears without me thinking about it that’s when my anxiety rockets high. So do I continue to put the thought into my head or change it and wait for the thought to appear when I’m not expecting it and then use the exposure methods?
  My second is I have this habit of doing a compulsion, so as you know I have thoughts about abusing my daughter, one of my compulsions is to touch her nappy just to get rid of the thought( I never actually touch her inappropriately just to put that out there in case someone got the wrong idea, just when she’s got her nappy on/dressed)
I’d been doing completely fine until today when I ended up doing so without fully realising, I think it did it out of habit to be honest, I know I’ve got to break the habit, so what I also wanted to know was when I accidentally do a compulsion do I just need to let go of the fact I did it and just make sure I don’t do it again and distract myself from doing it? As I’ve found now I’m sitting here getting angry at myself for doing the compulsion and I’m just constantly worrying as to why I did it, which I understand is classed ruminating. It’s just hard to tell which ones I should and shouldn’t ruminate about. 
Thsnk you for taking the time to read x 
Edited January 27, 2018 by Bee2017","['anxiety', 'anxiety', 'compulsion', 'Thought']",1,1,1,1,1,1
Does anyone find their ocd takes up every waking minute of their life....I mean even if they are not doing compulsions or fighting it ocd is still on their mind....I've found this lately to be happening to  me.....annoying..................,"['compulsion', 'OCD']",1,0,1,0,1,1
"Which are your favorites? Any you disagree with? Why?
http://www.wsps.info/index.php?option=com_content&view=article&id=141:25-tips-for-succeeding-in-your-ocd-therapy&catid=0
By Fred Penzel, Ph.D.
1. Always expect the unexpected - you can have an obsessive thought any time or any place. Don’t be surprised when old or even new ones occur. Don‘t let it throw you. Be prepared to use your therapy tools at any time, and in any place. Also, if new thoughts appear, be sure to tell your therapist, to keep them informed.
2. Be willing to accept risk. All life is risky business. Risk is an integral part of life, and as such, it cannot be separated out. Remember that not recovering is the biggest risk of all.
3. Never seek reassurance from yourself or others. Instead, tell yourself the worst will happen, is happening, or has already happened. Reassurance will cancel out the effects of any homework you use it on and prevent you from improving. Reassurance-seeking is a compulsion, no matter how you may try to justify it.
4. Always try hard to agree with all obsessive thoughts - never analyze, question, or argue with them. The questions they raise are not real questions, and there are no real answers to them. Try not to get too elaborate when agreeing – simply say the thoughts are true and real.
5. Don’t waste time trying to prevent or not think your thoughts.This will only have the opposite effect and lead to thinking more thoughts. Studies have shown that you cannot effectively suppress particular thoughts. Your motto should be, “If you want to think about them less, think about them more.”
6. If you slip and do a compulsion, you can always turn it around and do something to cancel it. Try to not be a black-and-white all-or-nothing thinker who tells themselves that they are now a total failure. The good news is that you are in this for the long haul, and you always get another chance. It is normal to make mistakes when learning new skills, especially in therapy. It happens to everyone now and then. Accept it.Even if you have a good sized setback, don’t let it throw you. Remember the saying, “A lapse is not a relapse.” This means that you never really go back to square one. To do that, you would have to forget everything you have learned up to that point, and that really isn’t possible. Also remember the sayings, “Never confuse a single defeat with a final defeat,” (F. Scott Fitzgerald) and as they say in AA, “You can always start your day over.”
7. Remember that dealing with your symptoms is your responsibility alone. Don't involve others in your homework (unless specifically told to) or expect them to push you or to provide the motivation. They won’t always be there when you need them, but you are always with you.
8. Don’t get too impatient with your rate of progress, or compare yourself to someone else. Everyone progresses at their own particular rate. Try, instead, to simply focus on carrying out each day’s homework, one day at a time.
9. When you have a choice, always go toward the anxiety, never away from it. The only way to overcome a fear is to face it. You can’t run away from your own thoughts, so you really have no choice but to face them. If you want to recover, you will have to do this eventually.
10. When faced with two possible choices of what to confront, always choose the more difficult of the two whenever possible.
11. Review your therapy homework assignments daily, even if you think you know all of them. It is easy to overlook them – especially the ones you don’t look forward to doing.
12. If your therapist gives you an assignment you don’t feel ready to do, don’t be shy about saying so. As half of the team, you should be able to have a say in your own therapy. The goal is for the homework to produce moderate anxiety you can get used to tolerating - not to overwhelm you with it and cause you a setback. On the other hand, don’t be afraid to stretch yourself a bit whenever you can.
13. Procrastination is a feature of many people’s OCD, so start your homework assignments the day you get them. Don’t wait for the perfect moment to start. The perfect moment is whenever you begin doing them.
14. Perfectionism can be another feature of OCD. You may find your OCD telling you that if you don’t do your homework perfectly, you won’t recover. If you do find yourself obsessing about having to do your homework perfectly, you risk turning it into another compulsion. Watch out for having to do your homework according to the same rigid rules each time you do it. Also, don’t do your homework so excessively that it takes up your whole day. Remember that you still have a life to live.
15. Make the effort to read over your homework assignments at the start of each day. Don’t assume that you know them all and will not forget them.
16. Be careful when carrying out assignments to not undo them by telling yourself that “It’s only homework, and the things I’m saying and doing don’t count and aren’t real,” or “My therapist wouldn’t ask me to do something that would cause harm to me or others,” or “I’m only doing this because I was told to, so I’m not responsible for anything bad that happens.”
17. Try to not let yourself get distracted and tune out when doing certain assignments, so that you don’t have to feel the anxiety. People sometimes let the homework become routine and do it in a very automatic way as a kind of avoidance.Also, don’t do homework while you carry out other distracting activities. Give it your full attention, focus on what you are doing, and let yourself feel the anxiety. You are building tolerance to what you fear and for that to happen, you have to be in the moment with it.
18. When faced with a challenging assignment or an unexpected challenging situation, try to look on it as a positive, and as another opportunity to get better instead of saying, “Oh, no.Why do I have to do this?” Tell yourself, “This will be good for me – another chance to practice and get stronger.”
19. Try to not rush through your therapy homework so that you don’t have to feel as much anxiety. Take your time, and see if you can view it in terms of all the good it will do you. Getting it over with as quickly as possible is not the goal. Raising a moderate level of anxiety and staying with it, is.
20. If your homework doesn’t really produce any anxiety, tell your therapist about it. If your exposure homework doesn’t cause at least some anxiety, it isn’t going to be effective in helping you. On the other hand, try doing all new assignments for at least a week before deciding that they don’t make you anxious. Some assignments can cause delayed reactions and it may take doing them a few times before the anxiety occurs.
21. It is sometimes possible for OCD to try to make you doubtful about your homework. It may tell you that you are not in the right treatment, that your assignments cannot possibly make you better, or that you really don’t understand what you are doing and won’t be able to make it work. Remember that OCD was known as The Doubting Disease, and will try to cast doubt on anything that is important to you. To fight this, you may have to agree with it by saying, “Yes, that’s right. I really won’t get better.”
22. Never forget that you have OCD. This means that you will not always be able to trust your own reactions or sensations, especially if they seem to be telling you very negative and extreme things. If you are unsure if something is really a symptom, treat it as a symptom. Better to err on the side of doing a bit more exposure than not enough.
23. Remember that in OCD, the problem is not the anxiety - the problem is the compulsions. If you think the anxiety is the problem, you will only do more compulsions to get rid of it (which will only create more anxiety). If you recognize that the compulsions are the problem, stop doing them, and stay with the fearful situation, then the anxiety will eventually subside as you build up tolerance.
24. Always take a moment to endorse your own efforts and recognize your successes. It’s a good way to help keep up your motivation. Look back at earlier assignments that are no longer challenging if you believe you aren’t making progress.
25. Overall, never forget that OCD is very paradoxical. The things that you thought would make you better, only made you worse, and the things you thought would make you worse are the very things that will make you better.","['surprise', 'site', 'Treatment', 'disease', 'fear', 'compulsion', 'OCD', 'Thought', 'anxiety', 'anxiety', 'symptom']",1,0,1,1,0,0
"Hi All,
Had my second psych appt today. Was absolutely terrified about it, but forced myself to go. It was a bit weird as she didn't really ask me any questions about how I was feeling, or how I was managing with the compulsions etc. It was really clinical and just asked questions about the medication. She recommended increasing dose and going back to see her in three months.
....It was all a bit of an anti-climax really, considering how stressed out I was about the whole thing. Is this a normal reaction following psych appointments?
Lauralee","['compulsion', 'Medication']",1,0,1,0,1,0
"Not posted for a while.
I'm 3 weeks into my 20mg fluoxetine medication and I must admit I feel a little better. The pills initially played my stomach up, but I'm over that now. I feel a little better, but am still having repetitive thoughts, but the compulsions seem to have lessened somewhat.
Had my 1st counselling session this week too. Went well, with some good advice given.
Any sufferers out there contemplating help, I recommend seeking it, although not perfect, it helps things.
Edited August 28, 2009 by Guest","['Medication', 'Thought', 'compulsion']",1,1,1,1,1,1
"One Part of Jeffery Schwartz's 4 Steps is - after acknowledging that an intrusive thought is caused by OCD - to (try to) do something enjoyable in order not to give in to your compulsions. In CBT (with ERP) you deliberately expose yourself to the stressor. So we have """"Working around"""" vs. """"Exposition""""? Aren't these approaches contradictory? Is """"Working around"""" not similar to """"Avoid""""?
Kakop
Edited August 14, 2012 by KaKop","['Thought', 'OCD', 'joy', 'compulsion']",1,0,1,1,1,1
"Hi
This is a first for me, i have had ocd since i was thirteen and now im 51.i used to keep thinking and going over thoughts in my head all the time about normal kid like things,to the point where it was making me ill and had to take time out from school because of this. my parents at the time could not work out what was wrong with me,and nor could i.i did eventually have some comfort with talking to a head teacher about my silly mind games,and that did seem to help at the time(maybe that was the first act of avoidance on my behalf)
All the way through my teens and into my early twenties i was allways checking things like,did i lock the door is the gas cooker of, and anything else i thought i had missed.i even got my friends to repeat what they had said to me sometimes,as to here it again even though i new what they had just told me.
By my mid twenties things started getting worse for me,thinking that i had caused harm to somebody in a shop,and also thinking i had run somebody over in the road. all this type of thinking made me always go back and check to see if i had done something wrong.
By now my ocd was in full swing as i now startid having low level thoughts about harming people that i could not hold down relationships with girlfriends,i remember one day i had to come home to my parents as my whole body seemed to be seizing up, because my nervous system must have gone into overdrive with the constant rheumanating.
it was only about20 yrs ago that i finaly found out what was wrong with me, i read an article in a magazine about this poor chap thinking he had killed somebody,and obviously had not,to being diagnosed with ocd.
This helped me a lot as i new from then this torment was an illness.
i still get bouts of ocd, as my type now seems to be mental checking with not much physical compulsions involved.
the part i struggle with is the depression and low state of mind it leaves you in when you get a bout of ocd.
Thanks for reading this as sometimes its good to share....
cheers kevin","['flatulence', 'talking', 'compulsion', 'depression', 'checking', 'Thought', 'OCD']",1,0,1,1,1,1
"Hi
My son was diagnossed with OCD a few weeks ago. He has always been a bit obsessive about things but my father in law died from Cancer a few months ago and since then my son has got much worse. Everything has to be in order, he hoards junk, won't let me clean his room and has to fold all his clothes neatly every night and lay them out in order. Everytime he writes something (e.g Christmas cards) he has to go over the writing again after he has written it. Funnily enough it doesn't seem to be a problem at school but he says he has to count in his head at school to stop him carrying out his compulsions in the classroom.
My son has been feferred for congnetive therapy and possibly medication but apparently there is a wait of at least 2 months and in the meantime he seems to get worse every day. He is our only child but my husband and I both work full time and have many other family commitments at the moment so we don't have enough time in the day as it is and our Sons OCD is driving us to despair. My husband gets so frustrated that he has to leave me to deal with it a lot of the time as he is worried he will lash out and hurt him. I try my best but feel completly drained and unable to cope. sometimes I loose control and shout at my son but then I feel like the worst mother in the world. I know he needs so much reassurance right now but sometimes I just don't know what to do when he is getting upset and has to carry out his compulsions. I hate seeing him like this and I feel like other members of the family blame our parenting skills for the way he is. My own mother died 15 years ago and my sister doesn't have children so I tend to talk about my problems to work colleagues who I think are just about sick of my problems now so I bottle everything up but feel so alone.
If anyone has any tips for coping when their child is struggling with their compulsions I would be very very grateful.","['writing', 'Medication', 'despair', 'OCD', 'compulsion']",1,0,1,1,1,0
"Many of us do know what we need to be doing change wise , but actually doing it and building up a head of steam needs commitment. 
So why not look for an incentive to kick-start the process. 
Watch out for creating a compulsion though, that won't help. 
I don't feel physically well today, the result of anxiety - so I am feeling washed out and my adrenalin glands ache from overuse. Dark bags under the eyes no doubt 
But I need to get up and get doing, and getting involved in good helpful things and easing down the angst. Encouraging positivity. So I plan to: 
Doze for another hour, just gently and calmly. 
Get up in a mindful way, enjoying a wash, the taste of the toothpaste, the joy of choosing my clothes. Add a little male jewellery, a drop of scent. 
Get out to the local cafe and mix with my friends there ( my normal reaction when I feel OCD bad is avoiding others) , come back prepare a shopping list for the supermarket, then catch the bus (an exposure for me)  and go shopping. 
If I achieve this I might just reward myself with a light lunch out? 
What can you do to stand up to the disorder today?
  Edited October 20, 2016 by taurean
clarification","['compulsion', 'anxiety', 'anxiety', 'drop', 'OCD', 'joy', 'hopping', 'process']",1,0,1,0,1,0
"ill try to put this into words as best i can so please forgive me if i waffle on.
ok, i need to put some things in an exact position,
if i dont, i feel uncomftable and sometimes i get a bit ticcy,
ive read that most ocd'ers feel that if they dont they feel something bad will happen,
is that a description of feeling uncomftable or is it literal?
and as i dont """"think"""" that something bad will happen does that mean its not ocd?
if the object doesnt go how i feel it should go i get very aggitated.
things have to be done the """"right"""" way, there is eiher a right way or a wrong way, i dont make the rules for this,
my wife was peeling potatoes, i moan at her she is doing it wrong,
is that ocd or ocpd or just me?
i doubt my ocd at times,
i get bad thoughts, which i dont so much find disturbing, even though they are disturbing,
mostly sexual,
more annoying that they wont go away,
also if my wife takes too long at the shop i start to imagine all sorts of things,
death unfathfullness, and i fantasise my whole life out,
but it makes me feel low whilst thinking it,
that is ocd?
i ruminate,
if ive had a conversation with someone ill play it out in my mind for most of the day, sometimes days after.
or if im due to meet someone or have an appointment, like with the doctor,
ill play the conversation in my mind over and over until the appointment,
then after again too a little,
ocd?
the hearing blasphemy thing (i have a thought ritual after but if the blapshemy goes on it makes me worse) i know is ocd,
i dont get physical compulsions, except the door bolts have to face to heaven or it will let evil in,
i have to wipe toilet seats with tissue, and wont sit on a public loo,
dont like my hands getting dirty, dont like my face being touched.
reading this back to myself, i feel daft cos it does sound like ocd,
but is all of it ocd?
most of you seem to have it worse than me and i often feel like a whiner compared to you lot.
spose i just need a little reasurance.
i have to be in control is another.
lee
Edited January 15, 2007 by 574","['object', 'compulsion', 'toilet', 'Thought', 'OCD']",1,0,1,1,0,1
