post,prefLabel,obsession_first_checker,obsession_second_checker,obsession_third_checker,compulsion_first_checker,compulsion_second_checker,compulsion_third_checker,postAnnotations,mergedAnnotations,Compulsion exp,Obsession exp,agreed_obsession_label,agreed_compulsion_label
hello posted topic bdd part feel though might talk body issue thought part twenty two dyspraxia dignose 20 brother suffers pure aspergers dad ocd also aspergers grown around ocd brother serve mental illness pushed back towards mine recently started address problem know ocd please insulted think making mole hill ant hill never dare say even post see brother torture go threw every day let u get wake morning thought negative honest always negative mind constantly flash back horrible moment life snap thought run feel resolved resolved try distract one distraction bite side finger till point bleeds like always mind never real world way get seem realise snap people talking go complty head even want start fantiszie usually sorting problem problem resolved thought people like someone hurtful towards mind constantly go start get really bad anixity feel quite embarrassed like real living get point people could one mean thing mind keep relving start see mean thing cut life become really bitter towards even done nothing else wrong affected job education quite many job droped education often started back universtiy felt happy 2 week started point hardly lesson want keep much honest feel nervous say rest massive trust issue please write back would love hear say b x breath,"['talking', 'drop', 'OCD', 'Thought']",1,1,1,1,1,1.0,['thought'],"['talking', 'ocd', 'thought', 'drop']",,,1,1
hello without thought couple time gave son 6 week kiss lip happened couple time today happened suddenly thought came motif went searching online stunned many people multiple reason never also read baby could get sick severe kind bacteria sound quite logical think couple time happened moment often happen move ever need somehow explain way prevent ocd torture subject,"['OCD', 'Thought']",1,1,1,0,0,0.0,['thought'],"['ocd', 'thought']",,,1,0
went e got checked everything fine back researched mention heart attack stroke blood clot say plaque blood clot think plaque get teeth although say germ get blood stream trough gum freaking edited january 28 2014 snowflake,['stroke'],0,0,1,0,0,0.0,[],['stroke'],,,0,0
hello let u get right deep end straight diagnose dyspraxia type learning disability similar dy always felt mentaly ill feel though might ocd well often sink depression young girl rember thinking fat worried seven always concerned weight look massive angst think fat mostly belly face arm constantly think always feel like next thought teenager twenty two actrully self harm belly hating much wanting disapear still feel way never felt content look aswell contastly check mirror always bring makeup makeup fade start feel disgust feeling towards look change usually eyebrow lip fore head massive one ear hate hair 10stone3lbs 5ft6ins want loose weight spent many hour thinking threw day putting thing place fluctuated weight 8stone 11stone feel massive often think belly big must pregant even taken pregancy test really want bore feel could write book please help answer sorry place spelling grammar,"['OCD', 'depression', 'Thought', 'disgust']",1,1,1,1,1,0.0,['thought'],"['ocd', 'depression', 'thought', 'disgust']",,,1,1
hello gang asked earlier friend would lend laptop albeit reluctantly dig others touching belonging agreed proviso friend kept environment used clean would wash hand handling food touching keyboard request created something atmosphere appreciate need cleaniliness driven ocd surely case ensuring stuff remains tiptop condition possible really take care belonging would horrified returned le pristine condition order,"['Food', 'OCD']",0,0,1,1,1,1.0,['hand'],"['ocd', 'food', 'hand']",,,0,1
know told people symptom ocd suspicion controlling point feel drained thought persuasion time get sorted agrees feel anxious come feel tired right making feel quite sick ocd would wish anyone ellie xx,"['symptom', 'Thought', 'OCD']",1,1,0,0,0,0.0,['thought'],"['ocd', 'symptom', 'thought']",,,1,0
right 2 start best mate started school today thought cool whne arrived girl like best school mate started taking becuase used best mate could voice behind sure feeling took got scared started feel sick paranoid wanted curl ball apprently said sum thing 2 girl friend cnt remember saying becuase remember thing coz head wen girl question deny becuase honestly remember thing call liar friend apprently follow everywhere sure asks go place head muddle want cry tried fone doc morn culdnt get think shuld tell mum show board message,['Thought'],0,0,0,0,0,0.0,['thought'],['thought'],,,0,0
ocd take mean literally take mean seriously thought one felt like taking hate controlled stupid disorder even think thing annoying barely function life get sooo stupidest like cup right place anything shirt hung wrong closet tear clothes hang otherwise right hate say change change becomes part life without knowing change time notice taking way late annoying took food cupboard one night can facing wrong way thing alphabetised lame stupid pattern way thing get interrupted function like way put movie everything right walk aisle way store make sure everything facing right way werid as number thing number certain way function body close understands think freak right control though hate people think freak hate people understand moving something end hate get worse everyday anyone around understand purpose know live dad really anyone matter move something go nut literally would eat one day fork supposed meh hate ocd,"['Thought', 'Food', 'OCD']",1,1,1,1,1,1.0,['thought'],"['ocd', 'food', 'thought']",,,1,1
get disgusting thought image like something would see horror film sick thing people csi wonder thought psycho start please help know going horrid disgusting thought want right,"['disgust', 'Thought']",1,1,1,0,0,0.0,"['image', 'thought', 'horrid']","['disgust', 'image', 'thought', 'horrid']",,,1,0
hi guy okay one little bit embarrassing go apologise cause offence anyone know fan hollyoaks last term uni became eh slightly obsessed could say began watch old clip youtube lol got idea mcdean fanfiction ie relationship craig dean mcqueen one night desperately wanted write however also know reluctant write whole thing father kieron viewer show know gave priesthood go relationship jp going telly last year reluctant watch show still suffering badly ocd thought allowed hey teen soap mainstream television show school watershed something tell okay lol yet despite became confident began get watch clip eventually decided watch father kieron became confident guess could say felt guilty asked mum catholic said believed priest could go relationship heart told think going reassurance stage would think heck let u watch clip father kieron lust shamefully would feel beefing purpose could something worry go thought wrong thought head bit worried god folding arm tapping foot think true feel right anyway hope get possibility something bad er make sense,"['OCD', 'guilt', 'shame', 'hope', 'Thought']",1,1,0,1,1,0.0,['thought'],"['ocd', 'shame', 'thought', 'hope', 'guilt']",,,1,1
hey everyone realised need let go past unsure happened ocd tell happened make sense afraid understand enough know loved dearly want enjoy go,"['OCD', 'joy']",0,0,1,0,0,0.0,[],"['ocd', 'joy']",,,0,0
hi guy v ocd seems little twit happy living life normally spend lot time way like meeting people like company one like quite bit alone time tend meet people coffee drink tried arranging something person cancel anyway yesterday went library met girl knew outside invited sit people also know sat chatted really nice felt like actually fit ocd horrible telling friendship last say something ruin even though know never erm help,"['outside', 'OCD']",1,1,1,0,0,0.0,[],"['ocd', 'outside']",,,1,0
yello well got letter health social service state jersey channel island set date first appointment psychiatrist 6th october still quite away wondering expect happen etc,[],0,0,0,0,0,0.0,[],[],,,0,0
watch news ocd dance belly like excited elf parent love fine always try make excuse change channel yes important news equality democracy sometimes spike hedgehog help often catastrophically pessimistic pragmatic functional go hand hand watching tonight horrible grey 50 something pyschopath assaulted killed 9 year old sent someone else crime sure know story sudden feel low disgusting human feel like waiting judged accordingly think animal u narrow vision fear wll go bad feeling always always make wonder people tie ocd self esteem although feel like lack old story panic feel real ever became anger example could hurt another know stupid repetitive make pretty darn terrified anxiety make u tunnel visionned oh well guess ill work never tunnel visionned said spike seems cause much pain instead causing hurt kind scarier news also 2 consecutive suicide someone ocd take world shoulder control issue news feel like kryptonite anyone relate mean really necessary u know everything horrible go world hateful judgemental messed general also something scare sometimes think news feed terribly pessimistic know also became member sorry took long sorting card loooose loads chatroom ever used promise talk news lol,"['quality', 'disgust', 'fear', 'anger', 'anxiety', 'anxiety', 'OCD']",1,1,1,0,0,0.0,"['spike', 'assault', 'repetitive', 'hand']","['ocd', 'spike', 'fear', 'disgust', 'anger', 'assault', 'quality', ‘repetitive', 'anxiety', 'hand']",1.0,1.0,1,1
hey everybody nightfire female 21 wiltshire england found forum searching people talk nobody know understand really difficult 10 year diagnosed know think triggered 11 family moved different area house instead flat go new primary school think way try control life give idea thing write hoarding mainly mag book checking room bag etc timetable every day week month daily routine certain thing certain order routine cleaning negative paranoid thought others checking thing online like forum post myspace page etc trying everything trying give makeover every getting panic attack depressed thing life feel right used go pychiatrist alot younger found dad actually counceller year ago self harming little much though really help never doctor although thought medication hate thought going vegan take pill paracetemol take time month take mineral hardly ever get ill physically really healthy also suffer depression undiagnosed think linked anyway background info thought would essay lol actually ever shared anyone blink,"['depression', 'checking', 'Medication', 'Thought']",1,1,1,1,1,0.0,['thought'],"['depression', 'medication', 'thought', 'checking']",,,1,1
hey think posted since life bit manic lately anyway feel like everything getting top many thought going around mind many thing want life seem impossible many thing life constantly find fault driving mad feel like life totally overwhelming moment past 2 day really good went school friend seen age sat eve great heart heart life last night 2 best friend came round laugh today one totally life feeling ruined dr appointment today related quite feel ready yet psychology lesson later freaking week coursework even started yet considering boycotting psychology feel like handle losing mind moment eek thing getting work work love job everyone work really need get job soon possible making nearly enough money get college psychology coursework issue fact likely going fail gcse math career dream studying hollistic therapy moving southern seems impossible ever family seem argue argue seem understand feel anything especially concerning ocd feel like need escape living friend always feel really insecure relationship friend really think etc love life issue trusting people feel lke going virgin alone forever rate general fact 22 year still living home uni yet driving yet hardly money generally independant moment always mind trying cry writing feel like complete loser know start improving situation life always put load pressure give high standard live therefore tend fail advice anyone give would greatly appreciated also planning going dr plucking courage peace love nightfire xxx edited march 10 2008 guest,"['Thought', 'writing', 'depression', 'OCD']",1,1,0,0,0,0.0,"['thought', 'hand']","['ocd', 'depression', 'writing', 'thought', 'hand']",,,1,0
hi name rebecca new ever medically diagnosed ocd definitely sure talk parent bother enough feel need help desperately anyway decided join forum although friend think know load ocd still think stand overly cleanliness never learn frustrating try explain enjoy making skwerm akwardly move thing went trip london drama department school three day one boy spent every moment coach undoing seat belt something fair enough irritated moving arm rest slightly left write lot currently writing glee fanfiction story using character already created posting online guy ocd becomes worse bullied teased move school thought would say hi hi,"['joy', 'writing', 'Thought', 'OCD']",1,1,1,0,0,0.0,['thought'],"['ocd', 'writing', 'joy', 'thought']",,,1,0
hi good time mcfly concert dude went concert like breakdown clapping back home suddenly feel bit friend arranging go tonight asked would like come wanted drive none friend could come pick know town meeting massively well know mum dad could give lift various reason suddenly got big old wave sadness go sit swing bit suddenly felt mildly depressed upset want talk anyone want anything wanted left alone ocd took opportunity kick got whole life suck kind thing take deep breath felt blah although know god know feel inside ocd simply imagination real sometimes scared ruining life good although know never happen brill know live life way pick phone scared might say wrong thing today tomorrow day day day whack alright alright dude stop,"['sadness', 'OCD']",1,1,1,0,0,0.0,[],"['sadness', 'ocd']",,,1,0
hi gang well exam finish thursday perceive push lol thing bit bit weepy attribute stress raised emotion okay sometimes thought stick leave sometimes wonder good enough job getting go go like mind seem take taken away sigh always going come back exam time feel coped,['Thought'],1,1,1,0,0,0.0,['thought'],['thought'],,,1,0
hi gang hope okay morning one feeling little peculiar nothing new think ocd using thought night getting ready bed normally tend think sex lot waiting go sleep anyway particular night couple naughty thought taboo religion praying help therapist affirmed wrong knew wrong remember one two brief flash thought course remember every little thing thought heck remember everything night anyway lying one side remember looking white desk next bed big jumbled thought forgiveness thinking deeply remember image walking around feeling sad rolled looked way ocd kicked began think sinning one thought first time feeling like harmless thought bomb away ocd remember drifted asking god help deliver morning came back think ocd got thinking indulged thought intention ask forgiveness morning also would something worry fact think pure ocd seem thinking deserve anything truth feel loved much feel like big guy rooting understnad think done wrong feeling better last night comprehend think done something wrong wanted know ocd us anyone else thought like feel like ocd written niggling feeling undeserving,"['hope', 'serving', 'OCD', 'Thought']",1,1,1,0,0,0.0,"['image', 'thought']","['ocd', 'image', 'thought', 'serving', 'hope']",,,1,0
cbt homework really stressing finding really hard hate ocd,['OCD'],0,0,0,0,0,0.0,[],['ocd'],,,0,0
3 hour sleep bizarre nightmare woken kid downstairs singing old macdonald 6am get bed find one cat managed get locked behind door pood clear keep forgetting thing put bag take work 15 minute late car feel like driving jelly super glue depending saturn sky cassiopeia apparently work trying focus thing keep yawning feel sick nauseous like every morning past 2 week swear pregnant colleague talking really important stuff assaulted unwelcome vision accident fighting situation hurt attacked people trigger defensive side ocd throw vision excessive violence mix detractor time supposed taking brief important conversation send friend couple sm message mobile often expensive call co surrounded people understand enough english know work asks need right make feel bit better well need impossible right get hardest part accept fact precise moment time alone even anyone else logged board right fighting ripping mind apart want scream cry cry scream cry sleep week aspect want rip head open spread brain keyboard smash thought pulp make want drive car nearest river bridge flush low bottnian gulf call mother may recall profession forgotten ocd think ever learn voicemail aaaaaaaaarrrrrrrrgggggghhhhhhh left place another whinge sad pathetic life apologising help thank reading deep inside 4 yr old boy silently cry loving hug never knew child,"['singing', 'talking', 'sms', 'Thought', 'email', 'OCD']",1,1,1,1,1,0.0,"['assault', 'thought', 'excessive']","['ocd', 'email', 'assault', 'excessive', 'talking', 'thought', 'singing', 'sms']",1.0,,1,1
figure whatever ocd trying bother really connecting head make sense believed would done something wrong like ocd supplying guilt without actual sin think done anything wrong know better anyway everytime thought supposed indulged physically recoil think accepted would done something wrong ocd made believe sin thought like say something harmless head becomes harmful know long think said wrong first time something like happened got state think ocd hurting thought forgiveness worry naughty thought even remember felt weird slept prayed god save next morning began grow grow grow morning real state snapped bothered focusing revision today guy think ocd feel like broken like nothing worry want make sure ocd something done leave behind yeah,"['guilt', 'Thought', 'OCD']",1,1,1,0,0,0.0,['thought'],"['ocd', 'guilt', 'thought']",,,1,0
blushing sorry around much back reason everything watch triggering help half show watching seem paedophile moment want go back avoiding pretty much late anyway exam coming went antidepressant january dog nearly died father died everything pretty tough thought making progress fact really well exam march everything dog family happened exam eurgh definitely good month guess starting take toll going make appointment doctor 11th next time back birmingham running tablet unsure whether ask dose also getting therapy moment revision trying juggle everything else able go depression ocd doctor amazing depression really understanding helpful got therapy week nh discussed tablet lot went really felt decision comfortable although doctor great always hesitant seeing anybody nh paedophile thought gahhh getting easier say lol always seen private counsellor back home cbt rarely home inpractical see regular basis want clinical psychologist headed right direction moment want go record anything ever wanted work care proffession know would taken away boyfriend know everything shift since friday night pretty much helped much time think shift ended mucking sleep well guess talk difficult say honey work way could revise today think might paedophile dry also saying loud make real want fight angry could let happen need focus attention,"['OCD', 'Thought', 'depression']",1,1,0,0,0,0.0,['thought'],"['ocd', 'depression', 'thought']",,,1,0
must ocd get significantly worse around people near hard cope alone around others miserable always around people love ocd make think committing wrong toward almost every time say something constantly question motif saying something even get feel fear anyway end feeling horrible end thought overcoming ocd involved learning deal fear horrible every time try expose fear lot edited april 21 2014 heartplace,"['Thought', 'OCD', 'fear']",1,1,1,0,0,0.0,['thought'],"['ocd', 'thought', 'fear']",,,1,0
hey guy know really trying achieve venting really suppose went doctor last night regretting mum want anythnig ocd want go doctor got point get really nervous even thinking subject told meeting headteacher way doctor school saw picking sister said meeting cancelled gonig friend alex house drove anyways walking friend matthew past doctor parked outside getting prescription came another excuse alex mum want dropping something matthew house anyways sat car 5 10 minute left proceeded doctor mum friend relative aswell walked past signed went upstairs doctor said nothing could dificult diagnose need see psychiatrist also want chat parent continue supposed made violent sexual thought speak made really upset awful said next time see want list obsesions written every time get one started yesterday lunch went outside find people spreading rumour say lot people think stuff awful walking school morning could see people staring saying etc rumour true break today withing 30 second stepping onto playground apple thrown head everything getting worse last night thought 5 friend alex cat rachel matthew nat anyways today getting greif bit mood way home walknig top four walking alex street saying bet could carry sand bag strongest people managed 1 yes let u laugh adam little girl 3 year younger managed pick one throw waist delightful experience ever kind stung alot kind stupid thought need greif anybody else thew pe bag onto road alex go told leave property cat rachel called pathetic little girl kicked hard could remove top three friend two accidently fell matthew tripping huge go smacked accross shoulder hit back stormed one friend nat today huge go nothing told clue done seems dislike friend yay loner self harm getting bad recently upper arm covered cut feel like commit suicide somebody want make suffer feel like punished everythnig take starting feel somebody made friend go away commit suicide miss pressure school starting become unbearable really stand nobody talk friend want listen parent going listen etc ugh sorry adam x,"['regret', 'OCD', 'drop', 'outside', 'Thought']",1,1,1,1,1,0.0,"['violent', 'thought']","['ocd', 'violent', 'regret', 'thought', 'outside', 'drop']",,,1,1
hi guy feeling stretch got party tonight obsessing want stop feel bad little guilty getting anywhere head horrible want big cuddle want want hide away watch television feel energy much else wish someone could look eye tell really happened know really happened obsessing afraid making thing head surely sign ocd,"['guilt', 'OCD']",1,1,0,0,0,0.0,[],"['ocd', 'guilt']",,,1,0
going try post little anyways hav bad recentlyiv e gotten really bad iv e become quite depressed due stress come still hav told anyone think ocd way afraid treat think differently help feel like half time going try tell parent soon think take much sorry helpmangohelp,['OCD'],0,0,0,0,0,0.0,[],['ocd'],,,0,0
hi gang feeling little weird today mum came home something annoyed went room cry felt actually threw cushion across room know wonder wanted feel sad mind obsessing thing see rumination certain stuff sin human ocd put doubt mind cry deliberately bringing reason good know strange maybe needed cry maybe mind vulnerable doubt think wave goodbye ocd godmother condition today really helped reminded human bout time accepted lol,['OCD'],1,1,0,0,0,0.0,['rumination'],"['ocd', 'rumination']",,1.0,1,0
sitting tear streaming face travelling since 8 drunk nothing eaten 2 plum today probably helping matter spent 3 day wonderful person someone love love understands ocd well fantastic back uni soul know ocd feel like going consume mood like rollercoaster lonely desperately unhappy star,['OCD'],1,0,0,0,0,0.0,[],['ocd'],,,0,0
anxiety partly consequence ocd routine essential helping normalize irrational fear create sort structure devour example every morning check straightener door car door turned five time six time take picture remind worry reduce checking number follow may well still seem unnecessary unrealistic reassures enough continue irrational fear developing rest day,"['anxiety', 'anxiety', 'OCD', 'checking', 'fear']",1,0,0,1,1,1.0,"['unrealistic', 'irrational']","['ocd', 'fear', 'unrealistic', 'checking', 'irrational', 'anxiety']",,,0,1
right definitely ocd appreciate one always brown coloured stain form public transport faeces surely whole group people drink coffee without spilling directly onto seat anyway list anxiety spring mind anytime get bus train peculiar stain find seat several anyone actually explain pretty sure crapped bus probably would make mess drunk people would think working bar month would used intoxicated people something make much awkward getting shouted hit bus place full dirtiness nasty surly get sick contamination many people sat many dirtiness stick ohhh digusting,['OCD'],1,1,1,0,0,0.0,[],['ocd'],,,1,0
life tiring getting around life ocd exhausting checking everything around keep checking checking feel comfort difficult manage constantly feel like life hanging thread thought would list top five way deal ocd maybe help someone else remember ocd ocd thought experiencing real situation true identity thought nothing apparently average person around thought day beat evil deserve suffering matter many time try convince keep mind ocd bully best way beat bully react child told something repeatedly would believe tell child stupid chance going think stupid thing ocd trick react power lessen time,"['entity', 'checking', 'Thought', 'OCD']",1,1,1,1,1,1.0,['thought'],"['ocd', 'entity', 'thought', 'checking']",,,1,1
think lot people would better trying overcome ocd without therapist like said often therapist much help anyway many people pas qualified thing actually know might bought qualification online,['OCD'],0,0,0,0,0,0.0,[],['ocd'],,,0,0
recover ocd feel like fraud sure feel unwell incapacitating distress know thought real reason think routine feel ingrained optimised avoid ocd trigger seems impossible change see ever add working mix get working ever feel recovered consume 800 disposable glove month avoid touching hence hand washing time taken ocd reduced impact removed,"['Thought', 'OCD']",0,0,0,1,1,1.0,"['washing', 'thought', 'hand']","['ocd', 'washing', 'thought', 'hand']",,,0,1
clarify okay think least anyway need get bit chest shut door done always make feel better fed cleaning hand several time thought come mind touch anythings get contaminated sick real hospital full patient contamination everywhere,['Thought'],1,1,1,1,1,1.0,"['thought', 'hand']","['thought', 'hand']",,,1,1
edited february 17 2008 guest,[],0,0,0,0,0,0.0,[],[],,,0,0
thing pointless put hold talking virus talking virus causing want everything want anything lay awake 4am consumed thousand thought question whizzing round mind wondering serious thing ridiculous thing wondering know act real world frightened contract virus carrier spread onto people die realise die love die could go harming others fault know sometime unrealistic noise would think way day received random letter nh inside something called isolation distraction pack tip trick help mentally know handle isolated distract good way sound good wonder felt would need distraction help 7 week ago think 7 week entire heart appreciates work key worker saving life putting,"['Thought', 'talking']",1,0,0,0,0,0.0,"['unrealistic', 'thought', 'hand']","['talking', 'unrealistic', 'thought', 'hand']",,,0,0
ok thanks alot edited august 7 2007 guest,[],0,0,0,0,0,0.0,[],[],,,0,0
edited february 17 2008 guest,[],0,0,0,0,0,0.0,[],[],,,0,0
nobody knew mental health would handle included sort felt like treading eggshell waiting relapse struggled first intrusive mental image virus living human skin make fear time well trying let ocd snatch hold second singing amazing grace twice rather happy birthday strangely month brain fell quiet ocd disappear completely became waaaay manageable know reason believing thought physical checking behaviour halted mental checking ceased preoccupation pathogen retreated stopped asking loved one reassurance false memory disappeared entirely would like say like able see clearly think anybody felt could see clearly last year relieved however ocd spiralled downwards like many people last year sending hug cheese way ocd fam,"['fear', 'singing', 'Thought', 'checking', 'OCD']",1,1,0,0,0,0.0,"['washing', 'intrusive mental images', 'thought', 'intrusive', 'hand', 'behaviour']","['ocd', 'fear', 'checking', 'thought', 'intrusive mental images', 'singing', 'behaviour']",,1.0,1,0
two chunk cbt last year helped realise ocd fear irrational illogical improbable cbt helped identify faulty thought pattern thing afraid scared catching virus term health necessarily faulty thought pattern logical able recognise fear worldwide viral outbreak disproportionate actual threat reprogrammed reaction reminding unlikely event therefore illogical level anxiety,"['OCD', 'anxiety', 'anxiety', 'fear', 'Thought']",1,1,0,0,0,0.0,"['irrational', 'thought']","['ocd', 'fear', 'irrational', 'thought', 'anxiety']",,,1,0
edited july 13 2018 know,[],1,0,1,0,0,0.0,[],[],,,0,0
deleted edited october 21 2008 guest,[],0,0,1,0,0,0.0,[],[],,,0,0
edited december 1 2018 know,[],0,0,0,0,0,0.0,[],[],,,0,0
ok know talking get news phobia worse ever sleep rest eat constantly anxious feel though living sureal world like trapped inside nightmare say news bothering talking subject highten nerve trouble facing fear find briefly read story read talking actual subject news would much right actual subject bothering much somebody life far away somebody mean world right feel completly helpless protect anything happened slept eaten rested properly three month ocd getting little better worse ever given ulcer migranes toothache nerve yet feel worrying thing worry pray feel suffer way might protect person worry suffer thing really talk nerve anymore think anybody help know writing either edited may 30 2009 guest,"['fear', 'OCD', 'writing', 'talking']",1,1,0,0,0,0.0,[],"['talking', 'ocd', 'writing', 'fear']",,,1,0
today saw girl looked age maybe hard tell well endowed however face looked quite young mum younger sister led believe quite young also wearing quite childish clothes fetish large breast found quite turned could stop thinking breast imagined sex disturbs whilst imagining sex imagined saying mummy buy bra really turned obviously worry would thought idea child back mind kept feeling aroused later gave arousal masturbated worse whilst masturbating believed around 11 12 fantasy say little overdeveloped age reply know want reason really turned mainly attracted breast age know would incorporate age fantasy seek young girl ever masturbated girl least 14 19 maybe taboo sex young girl overly developed physically appealing morally idea sex prepubescent child sickens turn idea young turn confusing distressing need guidance advice ocd causing yet,"['Thought', 'OCD']",0,0,0,0,0,0.0,"['fantasy', 'distressing', 'thought']","['fantasy', 'ocd', 'thought', 'distressing']",,,0,0
