post,prefLabel,postAnnotations,mergedAnnotations,enriched-ontology-obsession,enriched-ontology-compulsion,obsession-expert,Compulsion-expert,Explanation
"Hi everyone,
I am so tired, upset, lonely and just wish this nightmare would end so I can have a normal life!
I suffer from Int thoughts, perfection, ruminations, symetry etc.
Cutting a long story short, went to see a CMH Team nurse xmas time, he said I had OCD and depression. Therapy did'nt go well as was so rushed etc. I am now seeing a lady whose approach is very good, but her CBT way is to challenge, which seems to aggrivate things.
Asked doc if it was defo ocd she said she did'nt know (which worried me even more).
Things have been much worse since my mum had to go into a nursing home last Sept and I now live alone. (Miss her very much)
I am always worrying something will pop in my head, panic if I dont panic (hope that makes sense), feel I don't know what technique to use, always feel I should be working out why these thoughts occured etc etc. It seems like certain thoughts go with certain situations, more anxious I feel worse it gets.
I just dont want things like this anymore, I am so sick of it! It would be nice to know whats waht and get moving in the right direction.
Please don't think I am after pity, its just I being alone alot is not fun like this!
Any advice would be great,
Take care all,
Andy...","['depression', 'hope', 'OCD', 'Thought']",['rumination'],"['rumination', 'OCD', 'depression', 'Thought', 'hope']",1.0,,1,0,"I suffer from Int thoughts, perfection, ruminations, symetry etc.
"
"i do not post here very often i know, but i feel that i have to share with other people because i cannot stop obsesssing over something that happened today.
if you can picture the scene, i got on a bus with my 6 year old son and 2 heavy shopping bags and a back-pack, the bus was fairly busy, we sat down in 2 single seats that were next eachother and put my bags between them, as the bus filled up a man who was drunk? got on and sat at the back, the bus was stopped in traffic and he began shoting at everyone who was sat at the front of the bus saying that they couldnt sit there as they """"""""were not elderly or disabled"""""""", he was really aggressive - there was one person having to stand up on the bus (who i wouldnt describe as elderley or disabled). the aggressive man moved further down the bus and had a go at 2 middle aged ladys calling them """"""""ugly slags"""""""" an elderly lady told him not to speak to them like that - it was all really stressfull.
i feel very bad about the whole thing, i always offer my seat to elderly or disabled or pregnant woman - but i feel this persons outburst was directed at me personally - it hasnt helped that i have had a bad day with my obssesssions and rituals.
this whole incident is going round my head like """""""" was i right to sit down, should i have made myself and my child stand up?"""""""", the other people on the bus were calling this bloke a """"""""big mouth"""""""" and telling him to shut up, should i have said something?, should i have contributed? would that have been suitable behaivour of me?.
the sign reads """"""""seating for elderly, disable or those with children"""""""" so i was justified as i had my son with me?, or should i have got up and let my son sit next to a stranger which he wouldnt feel comfortable with?
has anyone else had a similar thing happen and it has just ruined your day the thoughts wont get out of their head?","['hopping', 'Rituals', 'anger', 'Thought']",['Rituals'],"['anger', 'Thought', 'hopping', 'Rituals']",,1.0,1,1," i cannot stop obsesssing over something that happened today./ 
i have had a bad day with my obssesssions and rituals.
"
"I've not posted for a while, mostly because I've been feeling down, but hey - it was my birthday yesterday and I managed to feel somewhat upbeat which was good.
Anyway, this morning I had a thought, a rationalisation if you like about my fears that put a few things into perspective. I still doubt it, but I guess that's the nature of these things.
Basically, if I am what I fear:-
* why would I be worried about feeling attraction to what I fear - if I was what I fear, I wouldn't be worried about it
* I wouldn't have what has become almost a phobia of young girls - I'd be getting enjoyment out of it
* I wouldn't have spent the past two months testing and checking, because I'd already know the answer
* whenever I see young girls I would hardly be feeling a mixture of fear and almost an urge to throw up!
* I wouldn't be panicking about going on holiday next week where there's going to be loads of them
I've noticed also that it's worse in a morning - there seems to be a lot more 'background' anxiety which makes it seem like I'm much more on edge - this seems to subside by around midday after which I feel a lot better.
I've also gotten the ruminations right down to a lot less than what they were a few weeks ago. This seems to have increased the intensity of some of the spikes (both visual, i.e. seeing a young girl, and mental, i.e. a 'what if' situation), but I don't seem to be dwelling on them too much. My mind now likes to throw me curve balls such as 'what if it was legal' - but I've recognised that the immediate increase in anxiety following these thoughts tells me that once again, my brain is trying to kick my head in...
There's still so many unanswered questions - things such as 'why are you worrying about this in the first place - there must be something to it', but I've started to accept that that's the way it works.
Sorry if I've rambled a bit, but I thought it might be a good idea to get my thoughts down now while I'm thinking clearly!","['joy', 'checking', 'urge', 'anxiety', 'anxiety', 'Thought', 'fear']","['rumination', 'spike']","['rumination', 'urge', 'anxiety', 'fear', 'checking', 'joy', 'Thought', 'spike']",1.0,,1,0,whenever I see young girls I would hardly be feeling a mixture of fear and almost an urge to throw up!
"After two months I have left this weekly support group that deals with phobias and OCD. I feel that OCD is something that I have to deal with myself in my own time. Can't do ERP properly. OCD spikes are still unpredictable and some of them are too intense to deal with. There isn't much of a hierachy. The anxiety is either minor annoyance to impossible to ignore / days to subside.
Feel a bit bad about leaving the group. Someone else left the same day by proxy. A new person joined and is probably thinking why am I bothering when people are leaving.","['anxiety', 'anxiety', 'OCD']",['spike'],"['spike', 'anxiety', 'OCD']",1.0,,1,,I feel that OCD is something that I have to deal with myself in my own time. Can't do ERP properly. OCD spikes are still unpredictable and some of them are too intense to deal with. There isn't much of a hierachy. The anxiety is either minor annoyance to impossible to ignore / days to subside
"A wise friend once said to me that when an intrusive thought no longer has the power to through you into even momentary doubt or fear, then you'll truly be an ex-sufferer.
Well, that just happened.
I had an intrusive thought, and it didn't scare me, throw me for a loop, or a spike.
At all!
I am so proud of how far I've come.
This is how recovery feels.
Today is a good day.
 ","['fear', 'Thought']","['intrusive thought', 'spike']","['fear', 'Thought', 'intrusive thought', 'spike']",1.0,,,1, when an intrusive thought no longer has the power to through you into even momentary doubt or fea
"Hi all,
I've stayed away from the site recently, although it's an amazing support point, I've been working through some stuff on my own.
Briefly...during pregnancy my Contamination worries spiked, I was admitted to hospital because I wouldn't eat or go out for fear of harming my baby.
My daughter is 1 and a half now and today....I took her to the park; she walked pushing her dolls pram. I watched her play as she touched the slide and steps and swings and she sat on the ground with her comforter.
I felt fairly panicky and anxious at times as I do most days. I keep telling myself I owe it to my daughter to get better and she deserves to live and play like other children do.
Happy Friday everyone, I hope you make some small gains today and manage to get some relief along the way.","['site', 'fear', 'hope']",['spike'],"['site', 'fear', 'spike', 'hope']",1.0,,1,0,"during pregnancy my Contamination worries spiked, I was admitted to hospital because I wouldn't eat or go out for fear of harming my baby.
"
"Monday was hell. I woke up with tons of anxiety and was seriously worrying when I would get better. Someone was watching over me as I received a phone call from my doctor's office telling me they had a cancellation and I could come in and chat about SSRIs. Met with the doc and got a prescription for Zoloft. Too soon to tell any difference, but at least a step in the right direction. 
I've been religiously doing my homework. I do my imaginal exposures each day and read trigger scripts at random times during the day each day. The theme is becoming quite boring, but still triggers a little anxiety in me - so I will continue to work on it. It used to take 40 mins for my anxiety to fall, now it's about 10.
It still sneaks up on me and I still get scared, but my brain seems to not be glomming on to it as much as the last couple of weeks. I hope this is a sign of good things to come.
The therapy and the homework helps. It really does work when you start to take it seriously. It is the hardest thing ever.","['office', 'fall', 'hope', 'anxiety', 'anxiety']",['theme'],"['anxiety', 'office', 'fall', 'theme', 'hope']",1.0,,1,0," The theme is becoming quite boring, but still triggers a little anxiety in me -"
"Hi all,
I posted a few weeks back as my anxiety/OCD arrived back into my life in all it's glory about 5 weeks ago. It basically started with a menigitus spike at work ( I am a student nurse). I've been basically battling these ever changing thoughts and physical sensations ever since. It started off with headaches, palpitations and all over body shakes, which were caused by non stop thoughts of meningitus, death and germs. I battled through using the four steps and still managed to go to work, exposing myself to my fear.
Once these thoughts were under control then I started to get difficulty swallowing; thinking my throat was going to close and also I was going to choke on my food. I've been drinking water like it's going out of fashion and chomping on polos like a woman possessed, as they are the only things that help! Then when I'm not worrying about my swallowing my breathing starts to be my focus.
I went to go and see the doctor and was ready to take the plunge and confess almost all of my OCD, but the doctor I saw was an old locum, who just about managed to give me some beta blockers for the palpitations and didn't seem interested when I said I'd had anxiety and postnatal issues in the past. I'm going back to the doc's tomorrow and I'm hoping to see someone sympathetic and get this sorted. I'm seeing a Cognitive Hypnotherapist today, as recommended by a friend. I know it won't cure the OCD but I'm hoping it will calm my bodily reactions down a bit! I've also told the uni I'm suffering from Panic attacks and I'm waiting to hear back from their conselling service. I've also heard that I might be able to get CBT free, through Occupational health so I'm going to give that a whirl as well. I've spent so many years of my life holding this all in and dealing with it on my own and now I am really starting to realise this is bigger than me and if their is help out there I'm taking it, which is a monumental step for me.
Sorry for the long drawn out saga that is this post, just had to vent xx
This forum gives me strength everytime I read it xx
Postnatal1 xx","['dysphagia', 'shakes', 'fear', 'Food', 'interest', 'anxiety', 'anxiety', 'palpitation', 'OCD', 'Thought']","['spike', 'sensation']","['dysphagia', 'anxiety', 'palpitation', 'interest', 'fear', 'Thought', 'spike', 'shakes', 'sensation', 'Food', 'OCD']",1.0,,1,0,"posted a few weeks back as my anxiety/OCD arrived back into my life in all it's glory about 5 weeks ago. It basically started with a menigitus spike at work ( I am a student nurse)/ which were caused by non stop thoughts of meningitus, death and germs."
"Hi again,
I am fairly confident that I am suffering with pure-O along the harm theme. One thing I wanted to ask about though was whether it is common for the theme to be quite broad? So in my case I do not just have one thought i.e. what if I stab someone that repeats over and over again. I tend to have a lot of different thoughts ranging from images of harming someone when walking in the street to specific fears which have evolved from a horrible news story I read that do repeat somewhat. Is it common in other peoples experience to have a lot of thoughts in the subject of harm rather than just one specific thought that repeats? I am just trying to get a little information as I have seen it said often that people fear harming someone but it doesn't say that the theme can be broad reaching and throw up all sorts of horrible thoughts around hurting people.","['fear', 'Thought']",['theme'],"['fear', 'Thought', 'theme']",1.0,,1,0,I am fairly confident that I am suffering with pure-O along the harm theme.
"Hello all
I've posted a few words of advise to various contributors over the last couple of weeks - and finally summoned up the nerve to ask for some help myself.
I'm a long-time OCD sufferer - usually in bouts of 1-2 years, almost always Pure-O.
I'm currently working through a structured CBT programme with a great therapist - a mixture of Cognitive therapy to challenge my thinking patterns (excellent) and some exposure work (my current topic of choice is a doubt about my sexuality. I'm straight but currently worry that I'm not
My exposure isn't very hard to do - confront images/situations that prompt the fears/thoughts or 'spikes'. However, I find myself constantly checking and what my therapist calls both 'hypervigilant (always alert to possible triggers) and attentionally biased (now liable to notice men more than I did before this worry started).
My therapist tells me to pay 'minimal attention' when out and about. He's also talked about using a 'Pre-OCD me' approach (effectively behave how you always did, even if it now feels deliberate rather than natural).
My dilemma is that I now worry that not checking (looking to be sure, gauge my reaction etc) is avoidance - and therefore reinforcing.
Does anyone with P.OCD or H.OCD have any similar dilemmas, experiences, views etc?","['fear', 'Thought', 'checking', 'OCD']",['spike'],"['fear', 'Thought', 'checking', 'spike', 'OCD']",1.0,,1,0," almost always Pure-O.
confront images/situations that prompt the fears/thoughts or 'spikes'. / I find myself constantly checking and what my therapist calls both 'hypervigilant (always alert to possible triggers) "
"Hi.
I have compulsive thoughts or ruminations as well as actions and I was wondering how I should use the four steps for them. A lot of my thoughts or ruminations involve me having to think of something perfectly and I cant do anything before I have done that. Now what I have been doing is each time I have those thoughts is tell myself its OCD and tell myself to refocus. But there are so many thoughts that it feels like I'm telling myself it every minute or so and thats getting me down a bit too. What should I do?","['OCD', 'Thought']",['rumination'],"['rumination', 'Thought', 'OCD']",1.0,,1,0,I have compulsive thoughts or ruminations as well as actions 
"I know that with OCD, you’re supposed to be OK with uncertainty. This works for some of my OCD themes and not others.
For example, a past fear of mine is that I’ve had sex with someone while drunk and forgot. There is literally no way for me to get back nights that I can’t remember, so I truly have to live with that. Through a lot of therapy, I finally understood that.
But, I have another fear that I cheated on my SO with an ex. Google and Facebook track your steps (literally everywhere and for how long), and theoretically, I could login and check my location history. It’s all there. So, the uncertainty isn’t really there - the answers exist somewhere. I don’t know how to live with the uncertainty since I can find out something with just a click. Is that OCD in this case? I’m afraid I’m going to log on and see my little location dot at my ex’s house overnight or something. I can’t tell if that’s just hiding a fact from myself or OCD. Any assistance? Thanks.","['fear', 'OCD']",['theme'],"['fear', 'theme', 'OCD']",1.0,,1,0,"I know that with OCD, you’re supposed to be OK with uncertainty. This works for some of my OCD themes and not others./ I have another fear that I cheated on my SO with an ex. "
"Hi I guess this is a reassurance thing but would like to hear others experiences on this forum. My time of the month is due any day now and my OCD has gone into overdrive...in fact considering my medication has now started to work this has put me back to where I was weeks ago. It's erratic, my head is racing one thought to another I can't stop crying. Can I put this sudden spike down to my imminent period??","['OCD', 'Medication', 'Thought']",['spike'],"['Thought', 'spike', 'Medication', 'OCD']",1.0,,1,0,"in fact considering my medication has now started to work this has put me back to where I was weeks ago. It's erratic, my head is racing one thought to another I can't stop crying. Can I put this sudden spike down to my imminent period"
"Hi all,
Just thought I'd share my night with you.
I went to a friends 30th birthday party tonight. Decided to drive, so no drinkies for me. I was a bit worried at first, as alcohol of course relaxes me so that my OCD is at a manageable level.
I only had one spike at the end of the night (even though there were loads of kids there!) which was after a very drunken girl (who it turns out that I knew) crashed the party. She was harmless- just having a good boogie to the live band. I was asking my friend about her, then after we left, I started to worry that she had somehow overheard what I'd been saying. Hubby has assured me she was a good 20 feet away (and the band were still playing) so there was no chance that she'd heard me.
All in all, a good night methinks- I even got up and had a dance (albeit an old mum dance, lol) with zero alcohol inside me. Feeling pretty good","['Thought', 'OCD', 'rash']",['spike'],"['rash', 'Thought', 'spike', 'OCD']",1.0,,1,0,"my OCD is at a manageable level.
I only had one spike at the end of the night "
"Hi,
In the past I have gone though medications and REBT (Rational Emotive Behaviour Therapy). REBT did help very well, but its focus is more towards the cognitive part of the OCD. Recently a technique came to my mind as follows:
Imagine the cycle of Pure O is like two threads
1- First thread is that of intrusive thought that comes as a spike.
2- Second thread is that of the worry, anxiety and fear that is caused which results in mental rumination
If the entire focus is taken off from stopping the intrusive thought, reasoning with it or replying to it and put onto reducing the worry and anxiety, you make quick progress. It requires some mental discipline and focus, but it works very well.
MOTTO: Don't control the thought, cotrol the anxeity, worry and frustration.
I look forward to your comments and feedback on this. Is this MOTTO correct. To be honest, I am myself doing a bit of reassurance seeking over here, but I hope this would result in positive change.","['Medication', 'OCD', 'fear', 'hope', 'anxiety', 'anxiety', 'Thought']","['intrusive thought', 'rumination', 'spike']","['rumination', 'anxiety', 'OCD', 'fear', 'Thought', 'intrusive thought', 'spike', 'Medication', 'hope']",1.0,,1,0,"First thread is that of intrusive thought that comes as a spike.
2- Second thread is that of the worry, anxiety and fear that is caused which results in mental rumination"
