post,prefLabel,obsession_first_checker,obsession_second_checker,obsession_third_checker,compulsion_first_checker,compulsion_second_checker,compulsion_third_checker,postAnnotations,mergedAnnotations,Compulsion exp,Obsession exp
"Hello all
Ive just posted a topic on the BDD part as I feel As though I might have that, so I wont talk about my body issue and thoughts on this part.
I'm twenty two with Dyspraxia (dignose at 20) and I have a brother who suffers from Pure O (and is aspergers ) and my dad has OCD (also aspergers) so I have grown up around OCD, but because of my brother who is very serve with his mental illness I have been pushed to the back towards mine and have only recently started to address my problems.
I don't know if I have OCD and please dont be insulted if you think I dont and that i'm making a mole hill out of a ant hill, I have never dare to say or even post before as I have see my brothers torture he goes threw every day.
Lets get into then.When I wake up in the morning my thoughts are just so negative and if I'm honest there always negative. My mind constantly flashes back to a horrible moment in my life and when i snap myself out, my thoughts will run over and over and over this until i feel as it resolved or if it cant be resolved i will try and distract myself (one distraction I bite the sides of my fingers till the point it bleeds)it like im always in my mind and never in the real worlds because of this, the way I get out is that I seem to realise and snap myself out of it but if people are talking to me I can go complty in my head even if i dont want to and start to fantiszie (usually about me sorting problems out or a problem being resolved) the thoughts can be about people, Like if someone is hurtful towards be my mind will constantly go over this and i start to get really bad anixity and feel quite embarrassed like im real living it, I get to the point with people that they could do one mean thing but in my mind because i keep relving it and then I start to see other """"""""mean"""""""" things they do, that I just cut them out of my life and become really bitter towards them even if they done nothing else wrong. this has affected my jobs and education (ive quite many jobs and droped out of education often) and ive just started back at universtiy and i felt happy for 2 weeks but it all started up again to the point i hardly am in lesson and i just want to keep to myself
There is much more, But if im honest I feel to nervous to say the rest, as i have massive trust issue
Please write back I would Love to hear your say
B x
(and breath )","['talking', 'drop', 'OCD', 'Thought']",1,1,1,1,1,1.0,['thought'],"['talking', 'ocd', 'thought', 'drop']",,
"Hello all. 
Without any thought a couple of times I gave my son (6) weeks a kiss on the lips. This happened a couple of times. Today it happened again, but suddenly a thought came up about my motives. I went searching online and I was stunned how many people are against it for multiple reasons. I will never do this again, also because I've read that baby's could get sick from severe kind of bacteria (which sounds quite logical).ijust did not think about it and a couple of times it just happened in the moment. Not often but it did happen. 
How can I move on from this? I won't do it ever again, but I need to somehow explain it I. A way to myself to prevent any more ocd torture about this subject.","['OCD', 'Thought']",1,1,1,0,0,0.0,['thought'],"['ocd', 'thought']",,
"I've had this before, I went to a&e and I got checked over, everything was fine. But now it's back. I've just researched it, it mentions heart attack, strokes and a blood clot. It says plaque and cause a blood clot. I don't think it's the same plaque you get on your teeth, although, it did say that germs can get into your blood stream trough gums. Now I'm freaking out.
Edited January 28, 2014 by Snowflake",['stroke'],0,0,1,0,0,0.0,[],['stroke'],,
"Hello all
lets get right to the deep end straight of, I have been diagnose with Dyspraxia (Type of learning disability, similar to the other dys) I've always felt mentaly ill (I feel as though I might have OCD as well, and I often sink into depression)
From being a young girl (I rember thinking I was fat and being very worried about it from seven) i have always be concerned over my weight and looks, this has cause massive of angst for me.I think I'm fat and will (mostly on my belly, face,arms) constantly think about it, It always feel like its the next thought.
when I was a teenager (I'm now twenty two) i have actrully self harm on my belly because of hating it so much and wanting it to just disapear. I still feel the same way now, I have never felt content about my looks aswell and will contastly check mirrors and will always bring makeup with me and if my makeup fade i start to feel that same disgust feeling towards myself, With my looks it changes but it's usually about my eyebrows,above my lip, fore head (massive one)ear and now i hate my hair.
i'm 10stone3lbs 5ft6ins and i want to loose weight and i have spent many hours thinking about it threw the day and putting things in place for this, I have fluctuated with weight from being 8stone to 11stone, I feel massive and I often think my belly so big that I must be pregant (Ive even taken pregancy test)
There is more but I dont really want to bore you all as I feel I could write a book about this
Please Just help or just answer (sorry about it being all over the place and with spelling and grammar)","['OCD', 'depression', 'Thought', 'disgust']",1,1,1,1,1,0.0,['thought'],"['ocd', 'depression', 'thought', 'disgust']",,
"Hello Gang
I was asked earlier by a friend if I would lend her my laptop.
Albeit reluctantly (I do not dig others touching my belongings!) I agreed, on the proviso that my friend kept the environment in which it is to be used clean, and would wash her hands between handling food and touching the keyboard. This request has created something of an atmosphere.
I appreciate my need for cleaniliness is driven by OCD, but surely there’s a case for just ensuring that our stuff remains in as tiptop condition as possible. I really take care of my belongings, and would be horrified were it to be returned in a less than pristine condition.
Am I out of order?","['Food', 'OCD']",0,0,1,1,1,1.0,['hand'],"['ocd', 'food', 'hand']",,
"As a few of you know, I have only just told people about my symptoms of OCD and my suspicions of having it. It's controlling me to a point where I feel so drained now so I thought, after some persuasion, it was time to get it sorted. Who agrees? I feel so anxious about what is to come and I feel so tired right now that it is making me feel quite sick.
OCD - Wouldn't wish it on anyone.
Ellie. xx","['symptom', 'Thought', 'OCD']",1,1,0,0,0,0.0,['thought'],"['ocd', 'symptom', 'thought']",,
"Right 2 start with my best mate started at my school today which i thought was cool but whne she arrived this other girl that was like my best school mate started taking over becuase they used to be best mates.
then i could here voices behind me and i was sure it was about me then my feelings took over.. i got scared.. started to feel sick paranoid and i wanted to curl up in a ball.
Apprently i said sum things about these 2 girls being friends ( which i cnt remember saying) becuase i cant remember doing most things coz my heads ****** up. So wen this girl questions me about it i deny it becuase i honestly cant remember doing these things.. and she calls me a liar.
Now were not friends.. apprently i follow her everywhere but i am sure she asks me to go places with her.
M y heads in a muddle and i just want to cry.. i tried to fone the docs this morn but i culdnt get through.. do u think i shuld tell me mum... or show her this board and my messages ?",['Thought'],0,0,0,0,0,0.0,['thought'],['thought'],,
"WHY does OCD take over you ? I mean literally, TAKE OVER YOU. I mean, I seriously thought I was the only one who felt like it was taking over them, but I'm not. And it ****** me off. I hate being controlled by some STUPID disorder. I don't even THINK about it, and I do things. It's ANNOYING. I can barely function in life. I get sooo ****** over the stupidest ****. Like a cup not being in the right place. Or anything. If a shirt is hung wrong in my closet, I tear down ALL my clothes and have to RE HANG them. Otherwise, it's NOT RIGHT. I HATE it. And don't say """"""""change it then"""""""" because you CAN'T change it. It becomes such a part of your life without you knowing it that you can't just change it ... and by the time you notice it's taking over, its way too late. It's annoying. I took ALL the food out of the cupboards one night, because cans were facing the wrong way and things weren't alphabetised. HOW lame IS THAT. I have this stupid """"""""pattern"""""""" to the way I do things, and if it gets interrupted, I CAN'T function. Like, the way I put movies in, if everything isn't """"""""just right"""""""" I can't do it. I walk down the aisle ways in stores, and make sure everything is facing the right way. I have werid ass number thing, where if a number isn't a """"""""certain way"""""""" I can't function. And no body close to me understands it. They all think I'm some ****** up freak. And they're RIGHT. I can't CONTROL it though. I hate that people think I'm a freak, I hate that people don't understand WHY moving something ****** me off to no end. I HATE IT. ALL of it. And it just gets worse ... everyday. WHY ??? WHY can't anyone around me understand ? I don't do it on purpose ... I dont know HOW I can live with my dad ... I really don't ... or anyone for that matter. He moves something, and I go NUTS. Literally, I wouldn't EAT one day because the forks weren't where they were supposed to be. MEH !!! I HATE OCD.","['Thought', 'Food', 'OCD']",1,1,1,1,1,1.0,['thought'],"['ocd', 'food', 'thought']",,
Do any of you get just the most disgusting thoughts and images... Like something you would only see on a horror film or sick things people do on CSI? I wonder if the thoughts I'm having is how psychos start .... Please help I don't know what's going on . I have horrid disgusting thoughts I do NOT want them right?,"['disgust', 'Thought']",1,1,1,0,0,0.0,"['image', 'thought', 'horrid']","['disgust', 'image', 'thought', 'horrid']",,
"Hi guys,
Okay, this one's a little bit embarrassing. And before I go any further, I apologise if this causes offence to anyone.
As some of you know I'm a fan of Hollyoaks and during my last term at Uni, I became... eh... slightly obsessed with it, you could say and began to watch old clips on Youtube. :lol: I got some ideas for a """"""""McDean"""""""" fanfiction (ie, the relationship between Craig Dean and John-Paul McQueen) one night and I desperately wanted to write it down. However, some of you also know that I was reluctant to write it because of the whole thing with Father Kieron - viewers of the show will know that he gave up the priesthood to go into a relationship with JP and while all that was going on on telly last year I was reluctant to watch the show because I was still suffering badly from OCD; I thought it """"""""wasn't allowed"""""""" but hey, it's a teen soap on mainstream television that shows after school before the watershed! Something tells me it'll be okay! :lol:
Yet despite all this, as I became more confident and began to get watch more and more clips, I eventually decided to watch a few with Father Kieron and just became more confident. But all the same I guess you could say I felt guilty about it and I asked my Mum about it. She's a Catholic and she said that she believed that priests could go into relationships if it was what their hearts told them. I think I was going through a reassurance stage.
It's just... I would think 'oh, heck, let's just watch the clips of Father Kieron and lust shamefully after him' but then I would feel that I was beefing it all up. Was I doing it on purpose, just so I could have something to worry about? Did I go after it only because I thought it was wrong? I've just had all these thoughts in my head and I've been a bit worried that God's folding His arms and tapping His feet at me but I don't think that's true. I don't feel it right now, anyway. I just hope I didn't get off on the possibility that I was doing something bad.
Er... does that make sense?","['OCD', 'guilt', 'shame', 'hope', 'Thought']",1,1,0,1,1,0.0,['thought'],"['ocd', 'shame', 'thought', 'hope', 'guilt']",,
"Hey everyone
I've realised I need to let go of the past. I'm unsure what happened. My OCD tells me what happened, but it makes no sense to be afraid. I can't understand and I've had enough. I know I'm loved dearly and I just want to enjoy myself.
So, here we go...","['OCD', 'joy']",0,0,1,0,0,0.0,[],"['ocd', 'joy']",,
"Hi guys,
It's me vs the OCD because it seems that the little twit isn't happy with me living my life.
I normally spend a lot of time on my own - not in an anti-social way. I like meeting people and I like company but I'm just one of those who likes quite a bit of alone time and I don't tend to meet up with people for coffee or drinks - or when I've tried arranging something, the other person cancels on me.
Anyway, yesterday I went into the library and met a girl I knew outside. She invited me to sit with her and some other people who I also know and we sat and chatted. It was really nice and I felt like, for once, I actually fit in.
But now my OCD is being horrible and telling me that these friendships will not last - that I'll say something to ruin them even though I know I never will.
Erm... help?","['outside', 'OCD']",1,1,1,0,0,0.0,[],"['ocd', 'outside']",,
"Yello
Well, i got my letter from the Health and Social Services, from the states of jersey(channel islands). And i have a set date for my first appointment with the Psychiatrist, on the 6th october...still quite a while away..
But i was just wondering what i should expect...what will happen etc..",[],0,0,0,0,0,0.0,[],[],,
"When I watch the news my OCD dances in my belly like an excited elf. My parents love it and thats fine, but I always try to make some excuse to change the channel. Yes its important that we have the news for equality and democracy, but sometimes it spikes me more than a hedgehog. It doesn't help that it is often catastrophically pessimistic and pragmatic (me and functional dont go hand in hand).
I was watching it tonight, and it was about this horrible, over-weight grey 50 something Pyschopath, who assaulted and killed a 9 year old, and sent someone else in for his crime (Im sure you all know the story). All of a sudden I feel about as low as this disgusting human being, and feel like Im waiting to be judged accordingly (the same as he was). I think the animal in me (and all of us) will narrow my vision down to my fears and I wll go bad. These feelings always (always) make me wonder how people dont tie in OCD with self esteem, although it doesnt feel like we lack it..
Same old story, I panic and it feels real. If I ever became my anger, for example, could I hurt another? I know this is all stupid and repetitive but it makes me pretty darn terrified. After all, anxiety makes us tunnel visionned. Oh well, I guess Ill have to work on never being tunnel visionned.
That said; it is not a spike that seems to cause me too much pain. Instead, causing hurt to myself is kinda scarier, and this was on the news also (2 consecutive suicides). For someone with OCD who takes the World on their shoulders with control issues, the News can feel like Kryptonite. Does anyone relate? I mean, it is really necessary for us to know everything horrible that goes on in the World? How hateful, judgemental and messed up the general can be is also something that scares me, and sometimes I think the News feeds off it. Thats terribly pessimistic, I know.
I also became a member. Im sorry it took so long; I was sorting out cards (I loooose loadsss). Is the chatroom ever used? I promise I wont talk about news, lol.","['quality', 'disgust', 'fear', 'anger', 'anxiety', 'anxiety', 'OCD']",1,1,1,0,0,0.0,"['spike', 'assault', 'repetitive', 'hand']","['ocd', 'spike', 'fear', 'disgust', 'anger', 'assault', 'quality', ‘repetitive', 'anxiety', 'hand']",1,1
"Hey everybody! :a1_cheesygrin:
I'm NightFire, I'm Female, 21, & I'm from Wiltshire [in England].
I found this forum as I was searching for people to talk to about my O.C.D-as nobody I know has it, or can understand it, & it's really difficult for me. :down:
I've had O.C.D for about 10 years [it's not been diagnosed, but I know that I have it]. I think that it was triggered when I was 11, & my family & I moved to a different area [& a house instead of a flat], & I had to go to a new Primary School . I think that it was a way for me to try & control my life more.
To give you an idea of some of the things I do/experience I'll write some below;
*Hoarding [mainly mags, & books].
*Checking [my room, my bag, myself, etc].
*Timetables [of what I should do every day, week, & month]
*Daily routine [certain things in a certain order].
*Routine cleaning.
*Negative, paranoid thoughts [about myself & others].
*Checking things online [like forum posts, my myspace page, etc].
*Trying to do everything 'perfectly'.
*Trying to give myself a 'life makeover' every now & again.
*Getting panic attacks, & depressed when things in my life 'don't feel right'.
I used to go to a Pychiatrist when I was alot younger [when I found out that my Dad was actually my Step-Dad], & I've been to a Counceller a few years ago after self harming a little [not much though]-but it didn't really help.
But I've never been to the Doctor about O.C.D [although I've thought about it], or been on any medication for it. I hate the thought of going on medication-as I'm Vegan, & I only take The Pill, & Paracetemol [which I only take at that time of the month!]. Other than that I take B-Vitamins, & Multi-Vitamins & Minerals. I hardly ever get ill, & [physically] I'm really healthy.
I also suffer from Depression [again, undiagnosed]-which I think is linked to my O.C.D.
Anyway...that's some background info about me I thought that I'd share-sorry for the essay!. :lol:
Actually, this is the most I've ever shared about this to anyone before... :blink:","['depression', 'checking', 'Medication', 'Thought']",1,1,1,1,1,0.0,['thought'],"['depression', 'medication', 'thought', 'checking']",,
"Hey all,
I don't think that I've posted on here since my intro-but my life has been a bit manic lately.
Anyway; I just feel like everything is getting on top of me again...
I have so many thoughts going around in my mind, so many things that I want to do in my life that seem impossible, & so many things about myself, & my life that I constantly find fault in, that it's driving me mad. I just feel like life is totally overwhelming me at the moment.
The past 2 days have been really good; I went out with a School friend that I hadn't seen in ages on Sat eve, & it was ace-we had a great heart to heart about our lives. Then last night my 2 Best Friends came round, & we all had a laugh. But today I had one of those; 'I have to totally make-over my life because it's ****' feelings, & it's ruined it all.
I have a Dr's appointment today [which isn't related to OCD-as I don't *quite* feel ready for that yet], & a Psychology lesson later [which I'm freaking out about as I only have a week in which to do my Coursework, & I haven't even started it yet]-but I'm considering boycotting Psychology [again] as I feel like I can't handle it, as I'm losing my mind at the moment. :eek:
Here are some of the things that are getting me down;
Work: I work Part-Time, & I love my job & everyone that I work with-but I *really* need to get a Full-Time job asap as I'm not making nearly enough money to get by.
College: There's the Psychology Coursework issue, & the fact that I'm most likely going to fail GCSE Maths [again].
Career: I have dreams of studying Hollistic Therapies, & moving to Southern Ireland-but it seems impossible for me to ever do.
Family: All we seem to do is argue :argue:, & they can't seem to understand how I feel about anything [especially concerning my OCD]. I feel like I need to escape from living with them.
Friends: I always feel really insecure about my relationship with my friends, & what they really think of me, etc.
Love Life: It's non-existant! I have issues with trusting people, & I feel lke I'm going to be a Virgin, & alone forever at this rate.
General: The facts that I'm 22 this year, still living at home, not at Uni yet, not driving yet, don't have hardly any money, & generally aren't very independant at the moment are always on my mind.
I'm trying not to cry as I'm writing this-but I just feel like a complete loser...
I just don't know where to start on improving my situation & my life. I always put loads of pressure on myself, & give myself high standards to live up to-so therefore I tend to fail. So any advice that anyone can give me would be *greatly* appreciated.
Also; I am planning on going to the Dr's about my OCD/Depression very soon-I'm just plucking up the courage!
Peace & Love;
*NightFire*
XXX
Edited March 10, 2008 by Guest","['Thought', 'writing', 'depression', 'OCD']",1,1,0,0,0,0.0,"['thought', 'hand']","['ocd', 'depression', 'writing', 'thought', 'hand']",,
"Hi,
My name's Rebecca and I'm new here!
I haven't ever been medically diagnosed with OCD but I am definitely sure I have it, I can't talk to my parents about it and it doesn't bother me enough that I feel I need help desperately, it's just there for me.
Anyway, I decided to join this forum because although all my friends think they know loads about OCD (some still think it stands for overly cleanliness disorder- they will never learn) it's very frustrating to try to explain it to them as they enjoy making me skwerm akwardly when they move my things (I went on a trip to London with the drama department at school for three days and one boy spent every moment we were in the coach undoing my seat belt, something that is fair enough to be irritated by, and moving my arm rest slightly to the left).
I write a lot. I am currently writing a glee fanfiction (stories using characters already created and posting them online) about a guy who has OCD and it becomes worse as he is bullied and teased and has to move schools.
Just thought I would say hi, so here it is:
Hi.","['joy', 'writing', 'Thought', 'OCD']",1,1,1,0,0,0.0,['thought'],"['ocd', 'writing', 'joy', 'thought']",,
"Hi all,
Had a good time at the McFly concert (Dude! I did it; I went to a concert and like, didn't have a breakdown! :clapping: ) and now I'm back home again. But suddenly, I feel a bit down and out...
My friends are arranging to go out tonight and asked if I'd like to come; I wanted to, but I can't drive, none of my friends could come and pick me up, I don't know the town they're meeting in massively well and don't know the bus-times and my Mum and Dad couldn't give me a lift for various reasons.
And suddenly I got this big ol' wave of sadness and just had to go and sit on the swing for a bit. I suddenly felt mildly depressed and upset; didn't want to talk to anyone, didn't want to do anything, just wanted to be left alone.
And the OCD took the opportunity to kick in. I just got that whole """"""""My life sucks"""""""" kinda thing and had to take some deep breaths. I just felt all """"""""Blah"""""""" and although I know God knows how I feel inside and that most of my OCD is simply in my imagination; it ain't real. But sometimes I'm scared of just ruining my life for good although I know it'll never happen. Which is brill because I know I can live my life my way. It's just a 'what if...' I pick up the phone and I'm scared I might say the wrong thing, then.
But I won't. Not today, not tomorrow, not the day after that, or the day after that, or the day after that...
*WHACK!*
Alright, alright, dude, I'll stop! :a1_cheesygrin:","['sadness', 'OCD']",1,1,1,0,0,0.0,[],"['sadness', 'ocd']",,
"Hi gang,
Well, my exams finish on Thursday, which I perceive as the 'big push.' :lol: Things have been a bit up and down and I've been a bit weepy, but I attribute this to stress and raised emotion. Is that okay?
Sometimes a thought sticks and it just won't leave. Sometimes I wonder if I do a good enough job in getting it go go. It's like my mind can't seem to take it being taken away.
*sighs* Was it always going to come back during exam time? I feel as if I've coped, but only just.",['Thought'],1,1,1,0,0,0.0,['thought'],['thought'],,
"Hi gang,
Hope you're all okay this morning, I for one am feeling a little peculiar. Nothing new there than.
I think my OCD is using my thoughts against me. The other night I was getting ready for bed and I normally tend to think about sex a lot when I'm waiting to go to sleep. Anyway, this particular night I had a couple of naughty thoughts that are taboo in my religion and I was praying for help. My therapist had affirmed it was wrong, I knew it was wrong. I only remember one or two brief flashes of thought and of course you can't remember every little thing you thought. Heck, you can't remember everything you did the night before, can you?
Anyway, I was lying on one side and I remember looking at the white desk that's next to my bed and having a big jumbled thought about forgiveness - thinking deeply and I remember having an image of me walking around feeling sad - and then I rolled over and looked the other way. My OCD kicked in and I began to think that I was sinning by just having that one thought. It's not the first time I've had a feeling like that - I have a harmless thought and it's bombs away for the OCD! I do remember before I drifted off asking God to help me, to deliver me. Then in the morning it came back.
Now I think my OCD's got me thinking that I indulged in these thoughts with the intention to ask forgiveness in the morning and also that I'd have something to worry about. But the fact is, I think it's just pure OCD. I seem to be thinking now that I don't deserve anything but the truth is I just feel loved so much. I feel like the Big Guy is rooting for me.
But I don't understnad why I think I've done wrong. I was feeling better last night. I just can't comprehend why I think I've done something wrong. I wanted to know if OCD uses anyone else's thoughts against them like this. It feels like OCD now I've written it down. It was just this niggling, this feeling of being undeserving.","['hope', 'serving', 'OCD', 'Thought']",1,1,1,0,0,0.0,"['image', 'thought']","['ocd', 'image', 'thought', 'serving', 'hope']",,
